STATEFP,GEOID,NAME,CDP02_92E,OBJECTID,NCESID,STATEABBREV
13,1304380,Richmond County School District,15745,3839,1304380,GA
13,1304410,Rockdale County School District,8720,3840,1304410,GA
13,1304440,Rome City School District,3005,3841,1304440,GA
13,1304470,Schley County School District,700,3842,1304470,GA
13,1304500,Screven County School District,1205,3843,1304500,GA
13,1304530,Seminole County School District,825,3844,1304530,GA
13,1304560,Stephens County School District,2235,3846,1304560,GA
13,1304590,Stewart County School District,340,3847,1304590,GA
13,1304620,Sumter County School District,3135,3848,1304620,GA
13,1304650,Talbot County School District,505,3849,1304650,GA
13,1304680,Taliaferro County School District,125,3850,1304680,GA
13,1304770,Tattnall County School District,2160,3851,1304770,GA
13,1304800,Taylor County School District,900,3852,1304800,GA
13,1304830,Telfair County School District,1215,3853,1304830,GA
13,1304860,Terrell County School District,810,3854,1304860,GA
13,1304890,Thomas County School District,2815,3855,1304890,GA
13,1304950,Thomasville City School District,1850,3856,1304950,GA
13,1304980,Tift County School District,4150,3857,1304980,GA
13,1305040,Toombs County School District,1885,3858,1305040,GA
13,1305070,Towns County School District,555,3859,1305070,GA
13,1305100,Treutlen County School District,645,3860,1305100,GA
13,1305130,Trion City School District,250,3861,1305130,GA
13,1305190,Turner County School District,970,3862,1305190,GA
13,1305220,Twiggs County School District,580,3863,1305220,GA
13,1305250,Union County School District,1220,3864,1305250,GA
13,1305280,Upson County School District,2170,3865,1305280,GA
13,1305310,Valdosta City School District,4015,3866,1305310,GA
13,1305340,Vidalia City School District,1190,3867,1305340,GA
13,1305370,Walker County School District,5410,3868,1305370,GA
13,1305390,Walton County School District,8380,3869,1305390,GA
13,1305430,Ware County School District,3540,3870,1305430,GA
13,1305460,Warren County School District,385,3871,1305460,GA
13,1305490,Washington County School District,1835,3872,1305490,GA
13,1305550,Wayne County School District,2785,3873,1305550,GA
13,1305580,Webster County School District,295,3874,1305580,GA
13,1305640,Wheeler County School District,450,3875,1305640,GA
13,1305670,White County School District,2400,3876,1305670,GA
13,1305700,Whitfield County School District,7755,3877,1305700,GA
13,1305730,Wilcox County School District,570,3878,1305730,GA
13,1305760,Wilkes County School District,840,3879,1305760,GA
13,1305790,Wilkinson County School District,685,3880,1305790,GA
13,1305850,Worth County School District,2010,3881,1305850,GA
17,1717901,Flanagan-Cornell District 74 in Cornell,30,142,1717901,IL
17,1732220,Pontiac Township High School District 90,800,143,1732220,IL
17,1738100,Streator Township High School District 40,755,144,1738100,IL
17,1732700,Princeton High School District 500,445,145,1732700,IL
17,1741370,Webber Township High School District 204,150,146,1741370,IL
17,1743200,Woodlawn Community High School District 205,170,147,1743200,IL
17,1734290,Rochelle Township High School District 212,630,148,1734290,IL
17,1725650,Mendota Township High School District 280,620,149,1725650,IL
17,1729730,Ohio Community High School District 505,20,150,1729730,IL
